日期,BSR大类排名,类目,来源URL
"2025-09-01","2285","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-09-01&endDate=2025-09-30&salesSeller=1&start=2025-01&end=2025-12&pathId=1731294031&pathName=Sets(Current)&site=UK"
"2025-12-01","93","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731032031&pathName=Sets(Current)&site=UK"
"2025-12-01","1386","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730981031&pathName=Sets(Current)&site=UK"
"2025-12-01","45","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731028031&pathName=Sets(Current)&site=UK"
"2025-12-01","635","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731345031&pathName=Sets(Current)&site=UK"
"2025-12-01","60","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731030031&pathName=Sets(Current)&site=UK"
"2025-12-01","18314","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=16149077031&pathName=Sets(Current)&site=UK"
"2025-01-01","75","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-01-01&endDate=2025-01-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731362031&pathName=Sets(Current)&site=UK"
"2025-12-01","197","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730980031&pathName=Sets(Current)&site=UK"
"2025-12-01","269","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731460031&pathName=Sets(Current)&site=UK"
"2025-12-01","479","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1735457031&pathName=Sets(Current)&site=UK"
"2025-12-01","2567","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076561031&pathName=Sets(Current)&site=UK"
"2025-07-01","457","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731002031&pathName=Sets(Current)&site=UK"
"2025-12-01","441","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076541031&pathName=Sets(Current)&site=UK"
"2025-07-01","709","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=13623305031&pathName=Sets(Current)&site=UK"
"2025-12-01","1643","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076535031&pathName=Sets(Current)&site=UK"
"2025-12-01","509","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730985031&pathName=Sets(Current)&site=UK"
"2025-12-01","3655","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730996031&pathName=Sets(Current)&site=UK"
"2025-12-01","249","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731021031&pathName=Sets(Current)&site=UK"
"2025-07-01","19","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731027031&pathName=Sets(Current)&site=UK"
"2025-12-01","4196","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731352031&pathName=Sets(Current)&site=UK"
"2025-07-01","1740","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731504031&pathName=Sets(Current)&site=UK"
"2025-07-01","339","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731339031&pathName=Sets(Current)&site=UK"
"2025-12-01","31","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=26054143031&pathName=Sets(Current)&site=UK"
