日期,BSR大类排名,类目,来源URL
"2025-12-01","1478","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731357031&pathName=Sets(Current)&site=UK"
"2025-12-01","1675","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1735458031&pathName=Sets(Current)&site=UK"
"2025-07-01","458","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731502031&pathName=Sets(Current)&site=UK"
"2025-12-01","1363","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=26054144031&pathName=Sets(Current)&site=UK"
"2025-12-01","888","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076533031&pathName=Sets(Current)&site=UK"
"2025-12-01","2355","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731353031&pathName=Sets(Current)&site=UK"
"2025-07-01","304","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731024031&pathName=Sets(Current)&site=UK"
"2025-12-01","2768","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731356031&pathName=Sets(Current)&site=UK"
"2025-12-01","1359","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076521031&pathName=Sets(Current)&site=UK"
"2025-07-01","203","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730973031&pathName=Sets(Current)&site=UK"
"2025-12-01","16","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730991031&pathName=Sets(Current)&site=UK"
"2025-12-01","1796","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731458031&pathName=Sets(Current)&site=UK"
"2025-07-01","1374","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731503031&pathName=Sets(Current)&site=UK"
"2025-12-01","2708","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731489031&pathName=Sets(Current)&site=UK"
"2025-07-01","227","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3939939031&pathName=Sets(Current)&site=UK"
"2025-12-01","1998","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730995031&pathName=Sets(Current)&site=UK"
"2025-11-01","64","Novelty","https://vip.oalur.com/analysis/market/list?date=2025-11-01&endDate=2025-11-30&salesSeller=1&start=2025-01&end=2025-12&pathId=1731289031&pathName=Sets(Current)&site=UK"
"2025-07-01","369","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=16149076031&pathName=Sets(Current)&site=UK"
"2025-12-01","2150","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731463031&pathName=Sets(Current)&site=UK"
"2025-07-01","507","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=94998601031&pathName=Sets(Current)&site=UK"
"2025-12-01","4396","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731346031&pathName=Sets(Current)&site=UK"
"2025-12-01","32070","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731465031&pathName=Sets(Current)&site=UK"
"2025-12-01","29","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731003031&pathName=Sets(Current)&site=UK"
"2025-12-01","14455","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076566031&pathName=Sets(Current)&site=UK"
"2025-07-01","582","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731343031&pathName=Sets(Current)&site=UK"
"2025-12-01","848","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730970031&pathName=Sets(Current)&site=UK"
"2025-12-01","891","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731037031&pathName=Sets(Current)&site=UK"
"2025-10-01","45","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-10-01&endDate=2025-10-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731290031&pathName=Sets(Current)&site=UK"
"2025-12-01","3504","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3940213031&pathName=Sets(Current)&site=UK"
"2025-12-01","20363","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076532031&pathName=Sets(Current)&site=UK"
"2025-12-01","25","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730979031&pathName=Sets(Current)&site=UK"
"2025-12-01","3469","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076534031&pathName=Sets(Current)&site=UK"
"2025-12-01","10597","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076753031&pathName=Sets(Current)&site=UK"
"2025-12-01","15","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730990031&pathName=Sets(Current)&site=UK"
"2025-12-01","799","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=26054146031&pathName=Sets(Current)&site=UK"
"2025-12-01","3875","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731468031&pathName=Sets(Current)&site=UK"
"2025-12-01","19684","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=13623306031&pathName=Sets(Current)&site=UK"
"2025-12-01","4411","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=16149074031&pathName=Sets(Current)&site=UK"
"2025-07-01","10751","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=13623308031&pathName=Sets(Current)&site=UK"
"2025-12-01","643","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730975031&pathName=Sets(Current)&site=UK"
"2025-06-01","19836","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-06-01&endDate=2025-06-30&salesSeller=1&start=2025-01&end=2025-12&pathId=1731016031&pathName=Sets(Current)&site=UK"
"2025-12-01","12997","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731464031&pathName=Sets(Current)&site=UK"
"2025-07-01","1614","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076542031&pathName=Sets(Current)&site=UK"
"2025-07-01","1216","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731467031&pathName=Sets(Current)&site=UK"
"2025-12-01","5561","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731020031&pathName=Sets(Current)&site=UK"
"2025-07-01","898","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731029031&pathName=Sets(Current)&site=UK"
"2025-12-01","4432","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730994031&pathName=Sets(Current)&site=UK"
"2025-12-01","2016","Climate","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076547031&pathName=Sets(Current)&site=UK"
"2025-12-01","80","Men","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730983031&pathName=Sets(Current)&site=UK"
"2025-12-01","597","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076559031&pathName=Sets(Current)&site=UK"
"2025-12-01","4168","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3076558031&pathName=Sets(Current)&site=UK"
"2025-07-01","408","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3940181031&pathName=Sets(Current)&site=UK"
"2025-12-01","2212","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731138031&pathName=Sets(Current)&site=UK"
"2025-07-01","6094","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731354031&pathName=Sets(Current)&site=UK"
"2025-12-01","62","Nightwear","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731459031&pathName=Sets(Current)&site=UK"
"2025-12-01","90253","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=26054133031&pathName=Sets(Current)&site=UK"
"2025-12-01","2309","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3939667031&pathName=Sets(Current)&site=UK"
"2025-12-01","13397","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731013031&pathName=Sets(Current)&site=UK"
"2025-07-01","5630","DIY","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1939590031&pathName=Sets(Current)&site=UK"
"2025-07-01","1113","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=17561378031&pathName=Sets(Current)&site=UK"
"2025-07-01","610","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=16149073031&pathName=Sets(Current)&site=UK"
"2025-12-01","5430","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731372031&pathName=Sets(Current)&site=UK"
"2025-07-01","5369","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-07-01&endDate=2025-07-31&salesSeller=1&start=2025-01&end=2025-12&pathId=3940009031&pathName=Sets(Current)&site=UK"
"2025-09-01","5798","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-09-01&endDate=2025-09-30&salesSeller=1&start=2025-01&end=2025-12&pathId=1731224031&pathName=Sets(Current)&site=UK"
"2025-12-01","26415","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731456031&pathName=Sets(Current)&site=UK"
"2025-12-01","2793","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731402031&pathName=Sets(Current)&site=UK"
"2025-12-01","2374","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731117031&pathName=Sets(Current)&site=UK"
"2025-12-01","2212","Climate","https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731403031&pathName=Sets(Current)&site=UK"
"2025-05-01","14051","Fashion","https://vip.oalur.com/analysis/market/list?date=2025-05-01&endDate=2025-05-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1731486031&pathName=Sets(Current)&site=UK"
