类目,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,明细页链接
Jumpers,97.0,67.6,46.7,37.8,30.3,28.8,24.8,22.0,49.0,76.1,103.7,409.3,https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730985031&pathName=Jumpers(Current)&site=UK
Jackets,95.3,75.1,60.3,62.9,59.2,57.3,55.5,40.8,75.8,96.6,113.2,175.8,https://vip.oalur.com/analysis/market/list?date=2025-12-01&endDate=2025-12-31&salesSeller=1&start=2025-01&end=2025-12&pathId=1730996031&pathName=Jackets(Current)&site=UK
